Códice	token	lema	pos
BER	sentido	sentido	NCMS000
BER	troçido	trocir	VMPS0SM
BER	real	real	AQ0CS0
BER	çelestial	celestial	AQ0CS0
BER	tal	tal	DD0CS0
BER	qual	cuál	DT0CS0
BER	coraçon	corazón	NCMS000
BER	non	no	RN
BER	coraçon	corazón	NCMS000
BER	razon	razón	NCFS000
BER	bendiçion	bendición	NCFS000
BER	Judiçion	UNK	NCFS000
BER	petiçion	petición	NCFS000
BER	non	no	RN
BER	caridat	caridad	NCFS000
BER	uerdat	verdad	NCFS000
BER	abbat	abad	NCMS000
BER	soçiedat	sociedad	NCFS000
BER	llamado	llamar	VMPS0SM
BER	ensennado	enseñar	VMPS0SM
BER	peccado	pecar	VMPS0SM
BER	apremjado	apremiar	VMPS0SM
BER	dia	día	NCMS000
BER	romeria	romería	NCFS000
BER	conpannja	compañía	NCFS000
BER	uja	vía	NCFS000
BER	nemjga	enemigo	NCFS000
BER	amjga	amigo	NCFS000
BER	predica	predicar	VMIP3S0
BER	horriga	UNK	NCFS000
BER	parlero	parlero	AQ0MS0
BER	dinero	dinero	NCMS000
BER	uozero	vocero	NCMS000
BER	romero	romero	NCMS000
BER	eras	ser	VSII2S0
BER	ueneras	venera	NCFP000
BER	tiseras	tijera	NCFP000
BER	carreras	carrera	NCFP000
BER	partida	partida	NCFS000
BER	escarnjda	escarnir	VMPS0SF
BER	sabida	saber	VMPS0SF
BER	trayda	traer	VMPS0SF
BER	maria	María	NP000P0
BER	pleytesia	pleitesía	NCFS000
BER	qujtaria	quitar	VMIC3S0
BER	aleuosia	alevosía	NCFS000
BER	gloriosa	glorioso	AQ0FS0
BER	cosa	cosa	NCFS000
BER	preçiosa	precioso	AQ0FS0
BER	sabrosa	sabroso	AQ0FS0
BER	tener	tener	VMN0000
BER	obedesçer	obedecer	VMN0000
BER	seer	ser	VSN0000
BER	padesçer	padecer	VMN0000
BER	sentençia	sentencia	NCFS000
BER	entençia	UNK	NCFS000
BER	penjtençia	penitencia	NCFS000
BER	audiencia	audiencia	NCFS000
BER	otorgada	otorgar	VMPS0SF
BER	tornada	tornar	VMPS0SF
BER	mesnada	mesnada	NCFS000
BER	posada	posada	NCFS000
BER	trastornado	trastornar	VMPS0SM
BER	degollado	degollado	NCMS000
BER	desacordado	desacordar	VMPS0SM
BER	irado	airar	VMPS0SM
BER	degolladura	degolladura	NCFS000
BER	sanadura	sanadura	NCFS000
BER	cochura	cochura	NCFS000
BER	uentura	ventura	NCFS000
BER	meiorado	mejorar	VMPS0SM
BER	trauessado	atravesar	VMPS0SM
BER	cortado	cortar	VMPS0SM
BER	estado	estado	NCMS000
BER	encorado	encorar	VMPS0SM
BER	forado	horadar	VMIS3S0
BER	trosado	atrojar	VMPS0SM
BER	pagado	pagar	VMPS0SM
BER	maria	María	NP000P0
BER	romeria	romería	NCFS000
BER	conpannja	compañía	NCFS000
BER	dia	día	NCMS000
BER	marabilla	maravilla	NCFS000
BER	ujlla	villa	NCFS000
BER	escriujrla	escribir·lo	VMN0000·PC3FSA00
BER	oirla	oír·lo	VMN0000·PC3FSA00
BER	cunplida	cumplir	VMPS0SF
BER	conteçida	acontecer	VMPS0SF
BER	moujda	mover	VMPS0SF
BER	ujda	vida	NCFS000
BER	mjentes	mentir	VMIP2S0
