Códice	token	lema	pos
BAG	rriplicaçiones	UNK	NCMS000
BAG	rrazones	razón	NCFP000
BAG	rreconvençion	reconvención	NCFS000
BAG	cunclusion	UNK	NCFS000
BAG	son	ser	VSIP3P0
BAG	non	no	RN
BAG	fecho	hacer	VMP00SM
BAG	prouecho	provecho	NCMS000
BAG	derecho	derecho	NCMS000
BAG	pecho	pechar	VMIS3S0
BAG	çierta	cierto	AQ0FS0
BAG	/	PUNCT	PUNCT
BAG	açierta	acertar	VMM02S0
BAG	/	PUNCT	PUNCT
BAG	perentoria	perentorio	AQ0FS0
BAG	/	PUNCT	PUNCT
BAG	estoria	historia	NCFS000
BAG	/	PUNCT	PUNCT
BAG	/	PUNCT	PUNCT
BAG	/	PUNCT	PUNCT
BAG	nonbrada	nombrar	VMP00SF
BAG	/	PUNCT	PUNCT
BAG	/	PUNCT	PUNCT
BAG	falljmente	fallimiento	NCMS000
BAG	/	PUNCT	PUNCT
BAG	otramente	otramente	RM
BAG	/	PUNCT	PUNCT
BAG	/	PUNCT	PUNCT
BAG	/	PUNCT	PUNCT
BAG	pospone	posponer	VMIP3S0
BAG	/	PUNCT	PUNCT
BAG	prinçipal	principal	AQ0CS0
BAG	val	valer	VMIP3S0
BAG	mal	mal	NCMS000
BAG	pedir	pedir	VMN0000
BAG	rreconvenjr	reconvenir	VMN0000
BAG	punjr	punir	VMN0000
BAG	comedjr	comedir	VMN0000
BAG	/	PUNCT	PUNCT
BAG	/	PUNCT	PUNCT
BAG	/	PUNCT	PUNCT
BAG	/	PUNCT	PUNCT
BAG	desuariar	desvariar	VMN0000
BAG	atormentar	atormentar	VMN0000
BAG	far	hacer	VMN0000
BAG	/	PUNCT	PUNCT
BAG	desechar	desechar	VMN0000
BAG	tachar	tachar	VMN0000
BAG	matar	matar	VMN0000
BAG	/	PUNCT	PUNCT
BAG	confesion	confesión	NCFS000
BAG	non	no	RN
BAG	/	PUNCT	PUNCT
BAG	sazon	sazón	NCMS000
BAG	vso	usar	VMIS3S0
BAG	/	PUNCT	PUNCT
BAG	/	PUNCT	PUNCT
BAG	/	PUNCT	PUNCT
BAG	/	PUNCT	PUNCT
BAG	vsa	usar	VMIP3S0
BAG	/	PUNCT	PUNCT
BAG	...	PUNCT	PUNCT
BAG	/	PUNCT	PUNCT
BAG	/	PUNCT	PUNCT
BAG	/	PUNCT	PUNCT
BAG	/	PUNCT	PUNCT
BAG	saluagina	UNK	NCFS000
BAG	/	PUNCT	PUNCT
BAG	/	PUNCT	PUNCT
BAG	/	PUNCT	PUNCT
BAG	/	PUNCT	PUNCT
BAG	/	PUNCT	PUNCT
BAG	/	PUNCT	PUNCT
BAG	escusados	escusar	VMP00PM
BAG	juez	juez	NCCS000
BAG	/	PUNCT	PUNCT
BAG	/	PUNCT	PUNCT
BAG	/	PUNCT	PUNCT
BAG	pronunçaçion	UNK	NCFS000
BAG	constituçion	constitución	NCFS000
BAG	/	PUNCT	PUNCT
BAG	liçion	lección	NCFS000
BAG	Razon	razón	NCFS000
BAG	acusaçion	acusación	NCFS000
BAG	conpusyçion	composición	NCFS000
BAG	conclusyon	conclusión	NCFS000
BAG	rresponsyon	UNK	NCFS000
BAG	comjsion	comezón	NCFS000
BAG	jurediçion	jurisdicción	NCFS000
BAG	disputaçion	disputación	NCFS000
BAG	fazes	hacer	VMIP2S0
BAG	yazes	yacer	VMIP2S0
BAG	plazes	placer	VMIP2S0
BAG	enlazes	enlazar	VMSP2S0
BAG	mjentes	mente	NCFP000
BAG	dolyentes	doliente	NCCP000
BAG	valientes	valiente	AQ0CP0
BAG	dientes	diente	NCMP000
BAG	golhynes	UNK	VMIS3S0
BAG	/	PUNCT	PUNCT
BAG	baçines	bacín	NCMP000
BAG	matines	maitines	NCMP000
BAG	leuantar	levantar	VMN0000
BAG	/	PUNCT	PUNCT
BAG	tocar	tocar	VMN0000
BAG	/	PUNCT	PUNCT
BAG	/	PUNCT	PUNCT
BAG	laçias	lacio	AQ0FP0
BAG	graçias	gracia	NCFP000
BAG	engraçias	UNK	VMIS3S0
BAG	prima	primo	AQ0FS0
BAG	/	PUNCT	PUNCT
BAG	çima	cima	NCFS000
BAG	esquima	UNK	NCFS000
BAG	/	PUNCT	PUNCT
BAG	/	PUNCT	PUNCT
BAG	/	PUNCT	PUNCT
BAG	/	PUNCT	PUNCT
BAG	/	PUNCT	PUNCT
BAG	/	PUNCT	PUNCT
BAG	/	PUNCT	PUNCT
BAG	/	PUNCT	PUNCT
BAG	rrazon	razón	NCFS000
BAG	perdon	perdón	NCMS000
BAG	rrazon	razón	NCFS000
BAG	comendon	UNK	NCMS000
BAG	sesta	sexto	AO0FS0
BAG	presta	presto	AQ0FS0
BAG	esta	este	DD0FS0
BAG	fiesta	fiesta	NCFS000
BAG	varona	varona	NCFS000
BAG	carona	carona	NCFS000
BAG	persona	persona	NCFS000
BAG	nona	nona	NCFS000
BAG	loçana	lozano	AQ0FS0
BAG	plana	plana	NCFS000
BAG	/	PUNCT	PUNCT
BAG	/	PUNCT	PUNCT
BAG	/	PUNCT	PUNCT
BAG	/	PUNCT	PUNCT
BAG	arremanga	UNK	VMSP3S0
BAG	rremanga	remaner	VMSP3S0
BAG	bien	bien	RG
BAG	/	PUNCT	PUNCT
BAG	tien	tener	VMIP3S0
BAG	/	PUNCT	PUNCT
BAG	/	PUNCT	PUNCT
BAG	/	PUNCT	PUNCT
BAG	/	PUNCT	PUNCT
BAG	/	PUNCT	PUNCT
BAG	dexar	dejar	VMN0000
BAG	alexar	alejar	VMN0000
BAG	abaxar	abajar	VMN0000
BAG	quexar	quejar	VMN0000
BAG	atantos	UNK	NCMS000
BAG	/	PUNCT	PUNCT
BAG	santos	santo	AQ0MP0
BAG	/	PUNCT	PUNCT
BAG	/	PUNCT	PUNCT
