Códice	token	lema	pos
ALX	uolunter	UNK	NCMS000
ALX	prometer	prometer	VMN0000
ALX	contez	UNK	NCCS000
ALX	guarez	UNK	NCCS000
ALX	prez	prez	NCCS000
ALX	des	dar	VMSP2S0
ALX	mes	mes	NCMS000
ALX	cortes	corte	NCFP000
ALX	res	re	NCMP000
ALX	seer	ser	VSN0000
ALX	ualer	valer	VMN0000
ALX	ueer	ver	VMN0000
ALX	mester	mester	NCMS000
ALX	apaga	apagar	VMIP3S0
ALX	afalaga	UNK	NCFS000
ALX	çaga	zaga	NCFS000
ALX	plaga	plaga	NCFS000
ALX	faran	hacer	VMIF3P0
ALX	entendran	entender	VMIF3P0
ALX	querran	querer	VMIF3P0
ALX	prendran	prender	VMIF3P0
ALX	nada	nada	PI0CS000
ALX	espada	espada	NCFS000
ALX	mudada	mudar	VMPS0SF
ALX	encontrada	encontrar	VMPS0SF
ALX	rancada	arrancar	VMPS0SF
ALX	lazdrada	lacerar	VMPS0SF
ALX	nada	nada	PI0CS000
ALX	doblada	doblar	VMPS0SF
ALX	encarnados	encarnar	VMPS0PM
ALX	denodados	denodado	AQ0MP0
ALX	golpados	golpar	VMPS0PM
ALX	vassallos	vasallo	NCMP000
ALX	mouieren	mover	VMSF3P0
ALX	fugieren	UNK	VMIP3P0
ALX	uieren	ver	VMSF3P0
ALX	quisieren	querer	VMSF3P0
ALX	fado	hado	NCMS000
ALX	rancado	rancar	VMPS0SM
ALX	ondrado	honrado	AQ0MS0
ALX	contado	contar	VMPS0SM
ALX	consseiado	aconsejar	VMPS0SM
ALX	mandado	mandar	VMPS0SM
ALX	pagado	pagar	VMPS0SM
ALX	recabdado	recaudar	VMPS0SM
ALX	poro	poro	NCMS000
ALX	oro	oro	NCMS000
ALX	toro	toro	NCMS000
ALX	moro	moro	NCMS000
ALX	babilon	Babilonia	NP000G0
ALX	syon	Sión	NP000G0
ALX	son	ser	VSIP3P0
ALX	pon	poner	VMM02S0
ALX	Janero	UNK	NCMS000
ALX	santero	santero	NCMS000
ALX	compannero	compañero	NCMS000
ALX	cauallero	caballero	AQ0MS0
ALX	guisa	guisa	NCFS000
ALX	camisa	camisa	NCFS000
ALX	pisa	pisa	NCFS000
ALX	guisa	guisa	NCFS000
ALX	maestria	maestría	NCFS000
ALX	filosophia	filosofía	NCFS000
ALX	mia	mío	PX1FS0S0
ALX	dia	día	NCMS000
ALX	çidat	ciudad	NCFS000
ALX	bondat	bondad	NCFS000
ALX	heredat	heredad	NCFS000
ALX	mezquindat	mezquindad	NCFS000
ALX	condesado	condesar	VMPS0SM
ALX	embiado	enviar	VMPS0SM
ALX	demostrado	demostrar	VMPS0SM
ALX	osado	osar	VMPS0SM
ALX	obrada	obrar	VMPS0SF
ALX	temprada	templar	VMPS0SF
ALX	encantada	encantar	VMPS0SF
ALX	abaxada	abajar	VMPS0SF
ALX	scola	UNK	NCFS000
ALX	espuera	UNK	RG
ALX	auuela	abuelo	NCFS000
ALX	moçuela	mozuelo	NCFS000
ALX	cuentar	contar	VMN0000
ALX	mar	mar	NCCS000
ALX	prestar	prestar	VMN0000
ALX	deuisar	devisar	VMN0000
ALX	leon	León	NP000G0
ALX	babilon	Babilonia	NP000G0
ALX	fellon	UNK	AQ0MS0
ALX	enuision	UNK	NCFS000
ALX	relampaua	UNK	VMII3S0
ALX	refertaua	UNK	VMII3S0
ALX	obraua	obrar	VMII3S0
ALX	cataua	catar	VMII3S0
ALX	cuentar	contar	VMN0000
ALX	demostrar	demostrar	VMN0000
ALX	iudgar	juzgar	VMN0000
ALX	preçiar	preciar	VMN0000
ALX	mar	mar	NCCS000
ALX	acabar	acabar	VMN0000
ALX	leal	leal	AQ0CS0
ALX	creo	crear	VMIP1S0
ALX	vistio	vestir	VMIS3S0
ALX	temptar	tentar	VMN0000
ALX	brial	brial	NCMS000
ALX	sinal	señal	NCFS000
ALX	leal	leal	AQ0CS0
ALX	mal	mal	NCMS000
ALX	mesurado	mesurado	AQ0MS0
ALX	pesado	pesar	VMPS0SM
ALX	cansado	cansar	VMPS0SM
ALX	tornado	tornar	VMPS0SM
ALX	pauor	pavor	NCMS000
ALX	sabor	sabor	NCMS000
ALX	honor	honor	NCMS000
ALX	emperador	emperador	NCMS000
ALX	ganado	ganado	NCMS000
ALX	arrancado	arrancado	AQ0MS0
ALX	auenturado	aventurado	AQ0MS0
ALX	aontado	ahontar	VMPS0SM
ALX	recuntar	recontar	VMN0000
ALX	deliurar	liberar	VMN0000
