Códice	token	lema	pos
BER	desarrada	desarrado	AQ0FS0
BER	olbido	olvido	NCMS000
BER	marido	marido	NCMS000
BER	querido	querer	VMPS0SM
BER	entendido	entender	VMPS0SM
BER	al	a·el	SPS00·DA0MS0
BER	mal	mal	NCMS000
BER	caudal	caudal	AQ0CS0
BER	mjssal	misal	NCMS000
BER	oria	Oria	NP000P0
BER	gloria	gloria	NCFS000
BER	istoria	historia	NCFS000
BER	memoria	memoria	NCFS000
BER	tanto	tanto	RG
BER	sancto	santo	AQ0MS0
BER	quebranto	quebranto	NCMS000
BER	canto	cantar	VMIP1S0
BER	fablar	hablar	VMN0000
BER	formar	formar	VMN0000
BER	afincar	afincar	VMN0000
BER	fogar	hogar	NCMS000
BER	beujr	vivir	VMN0000
BER	dezir	decir	VMN0000
BER	soffrir	sufrir	VMN0000
BER	soffrir	sufrir	VMN0000
BER	postremera	postrimero	AQ0FS0
BER	era	ser	VSII1S0
BER	manera	manera	NCFS000
BER	mollera	mollera	NCFS000
BER	igual	igual	NCMS000
BER	spirital	espiritual	AQ0CS0
BER	leal	leal	AQ0CS0
BER	mal	mal	NCMS000
BER	passamjento	pasamiento	NCMS000
BER	tiento	tiento	NCMS000
BER	conujento	UNK	NCMS000
BER	conplimjento	cumplimiento	NCMS000
BER	guardado	guardar	VMPS0SM
BER	agujsado	aguisado	AQ0MS0
BER	rezado	rezar	VMPS0SM
BER	soterrado	soterrar	VMPS0SM
BER	certanjdat	UNK	NCFS000
BER	sanctidat	santidad	NCFS000
BER	uerdat	verdad	NCFS000
BER	caridat	caridad	NCFS000
BER	sepultura	sepultura	NCFS000
BER	angustura	angostura	NCFS000
BER	dura	duro	AQ0FS0
BER	apostura	apostura	NCFS000
BER	ujda	vida	NCFS000
BER	conplida	cumplir	VMPS0SF
BER	partida	partida	NCFS000
BER	sepelida	sepelir	VMPS0SF
BER	adorados	adorar	VMPS0PM
BER	granados	granar	VMPS0PM
BER	multiplicados	multiplicar	VMPS0PM
BER	peccados	pecado	NCMP000
BER	uersifficador	versificador	NCMS000
BER	lauor	labor	NCFS000
BER	sennor	señor	NCMS000
BER	mayor	mayor	AQ0CS0
BER	espedir	despedir	VMN0000
BER	dezir	decir	VMN0000
BER	conplir	cumplir	VMN0000
BER	escarnjr	UNK	VMN0000
BER	enparedada	emparedado	NCFS000
BER	fetilla	UNK	NCFS000
BER	uegada	vegada	NCFS000
BER	confortada	confortar	VMPS0SF
BER	coraçon	corazón	NCMS000
BER	ujsion	visión	NCFS000
BER	non	no	RN
BER	sermon	sermón	NCMS000
BER	sennalado	señalado	AQ0MS0
BER	mediado	mediar	VMPS0SM
BER	deseado	desear	VMPS0SM
BER	rogado	rogar	VMPS0SM
BER	soltada	soltar	VMPS0SF
BER	posada	posada	NCFS000
BER	lazrada	lacerar	VMPS0SF
BER	amada	amar	VMPS0SF
BER	ujda	vida	NCFS000
BER	guarida	guarir	VMPS0SF
BER	uenjda	venida	NCFS000
BER	salida	salir	VMPS0SF
BER	general	general	AQ0CS0
BER	natal	natal	NCMS000
BER	spirital	espiritual	AQ0CS0
BER	natural	natural	AQ0CS0
BER	comulgar	comulgar	VMN0000
BER	altar	altar	NCMS000
BER	tomar	tomar	VMN0000
BER	andar	andar	VMN0000
BER	buscar	buscar	VMN0000
BER	comulgar	comulgar	VMN0000
BER	tornar	tornar	VMN0000
BER	tardar	tardar	VMN0000
BER	yr	ir	VMN0000
BER	sobir	subir	VMN0000
BER	dezir	decir	VMN0000
BER	despartir	departir	VMN0000
BER	demandar	demandar	VMN0000
BER	pesar	pesar	VMN0000
BER	logar	lugar	NCMS000
BER	musar	UNK	VMN0000
BER	primera	primero	AO0FS0
BER	manera	manera	NCFS000
BER	portera	portero	NCFS000
BER	conpannera	compañero	NCFS000
BER	podiestes	UNK	VMIS2S0
BER	estoujestes	UNK	VMIS2S0
BER	oyestes	oír	VMIS2P0
BER	oyestes	oír	VMIS2P0
BER	prometio	prometio	NCMS000
BER	guardo	guardar	VMIS3S0
BER	partio	partir	VMIS3S0
BER	metio	meter	VMIS3S0
BER	preguntar	preguntar	VMN0000
BER	entrar	entrar	VMN0000
BER	logar	lugar	NCMS000
BER	ganar	ganar	VMN0000
BER	heredada	heredar	VMPS0SF
BER	espada	espada	NCFS000
BER	honrrada	honrado	AQ0FS0
BER	sagrada	sagrado	AQ0FS0
BER	tales	tal	PD0CP000
BER	spiritales	espiritual	AQ0CP0
BER	corales	coral	AQ0CP0
BER	lagremales	UNK	NCMP000
BER	ujsiones	visión	NCFP000
BER	razones	razón	NCFP000
BER	cabazones	cavazón	NCFP000
BER	sazones	sazón	NCFP000
BER	uersificamos	versificar	VMIP1P0
BER	contamos	contar	VMIP1P0
BER	adoramos	adorar	VMIP1P0
BER	fallamos	fallar	VMIP1P0
BER	falsedat	falsedad	NCFS000
BER	sanctidat	santidad	NCFS000
BER	poridat	poridad	NCFS000
BER	uerdat	verdad	NCFS000
BER	al	a·el	SPS00·DA0MS0
BER	leal	leal	AQ0CS0
BER	spirital	espiritual	AQ0CS0
BER	Amen	amar	VMSP3P0
BER	benedictus	LAT	LANG
BER	escriptos	escribir	VMPS0PM
BER	uirgen	virgen	AQ0CS0
BER	menbra	LAT	LANG
BER	quiescunt	LAT	LANG
BER	ujtam	LAT	LANG
BER	gloria	LAT	LANG
BER	oria	Oria	NP000P0
BER	memoria	memoria	NCFS000
BER	transitoria	transitorio	AQ0FS0
BER	gloria	gloria	NCFS000
